iter	Passed	Remaining
741	2801	973
742	2802	969
743	2806	965
744	2811	962
745	2814	958
746	2818	954
747	2822	950
748	2826	947
749	2830	943
750	2834	939
751	2838	936
752	2842	932
753	2847	928
754	2851	925
755	2854	921
756	2858	917
757	2861	913
758	2865	909
759	2869	906
760	2872	902
761	2875	898
762	2878	894
763	2882	890
764	2886	886
765	2887	882
766	2892	878
767	2896	874
768	2901	871
769	2906	868
770	2910	864
771	2914	860
772	2918	856
773	2922	853
774	2926	849
775	2930	845
776	2934	842
777	2938	838
778	2942	834
779	2943	830
780	2947	826
781	2948	822
782	2952	818
783	2955	814
784	2959	810
785	2963	806
786	2964	802
787	2968	798
788	2970	794
789	2973	790
790	2977	786
791	2981	783
792	2985	779
793	2989	775
794	2993	771
795	2997	768
796	3001	764
797	3005	760
798	3009	757
799	3013	753
800	3016	749
801	3020	745
802	3024	742
803	3028	738
804	3032	734
805	3036	730
806	3040	727
807	3045	723
808	3049	719
809	3053	716
810	3055	712
811	3059	708
812	3063	704
813	3067	700
814	3068	696
815	3072	692
816	3076	689
817	3081	685
818	3085	681
819	3089	678
820	3093	674
821	3094	670
822	3096	665
823	3101	662
824	3105	658
825	3109	655
826	3113	651
827	3118	647
828	3122	644
829	3126	640
830	3130	636
831	3135	633
832	3139	629
833	3143	625
834	3145	621
835	3149	617
836	3153	614
837	3157	610
838	3161	606
839	3165	602
840	3169	599
841	3173	595
842	3176	591
843	3180	587
844	3184	584
845	3188	580
846	3192	576
847	3196	572
848	3200	569
849	3204	565
850	3205	561
851	3210	557
852	3214	553
853	3217	550
854	3222	546
855	3223	542
856	3227	538
857	3231	534
858	3235	531
859	3239	527
860	3243	523
861	3247	519
862	3251	516
863	3255	512
864	3257	508
865	3262	504
866	3263	500
867	3267	496
868	3271	493
869	3276	489
870	3278	485
871	3283	482
872	3288	478
873	3292	474
874	3296	470
875	3297	466
876	3301	462
877	3305	459
878	3309	455
879	3312	451
880	3315	447
881	3320	444
882	3324	440
883	3328	436
884	3332	433
885	3336	429
886	3340	425
887	3345	421
888	3348	418
889	3350	414
890	3354	410
891	3358	406
892	3359	402
893	3363	398
894	3368	395
895	3372	391
896	3376	387
897	3377	383
898	3381	379
899	3385	376
900	3390	372
901	3393	368
902	3398	365
903	3402	361
904	3406	357
905	3410	353
906	3415	350
907	3419	346
908	3421	342
909	3425	338
910	3429	335
911	3434	331
912	3438	327
913	3442	323
914	3446	320
915	3450	316
916	3455	312
917	3459	309
918	3463	305
919	3465	301
920	3469	297
921	3473	293
922	3477	290
923	3481	286
924	3482	282
925	3486	278
926	3490	274
927	3494	271
928	3498	267
929	3502	263
930	3503	259
931	3507	255
932	3512	252
933	3516	248
934	3520	244
935	3523	240
936	3526	237
937	3530	233
938	3535	229
939	3538	225
940	3543	222
941	3547	218
942	3551	214
943	3555	210
944	3559	207
945	3561	203
946	3565	199
947	3569	195
948	3573	192
949	3578	188
950	3579	184
951	3583	180
952	3587	176
953	3590	173
954	3594	169
955	3598	165
956	3600	161
957	3604	158
958	3609	154
959	3613	150
960	3617	146
961	3621	143
962	3625	139
963	3627	135
964	3631	131
965	3635	127
966	3639	124
967	3643	120
968	3645	116
969	3649	112
970	3653	109
971	3657	105
972	3662	101
973	3668	97
974	3673	94
975	3677	90
976	3679	86
977	3683	82
978	3687	79
979	3688	75
980	3692	71
981	3696	67
982	3698	63
983	3702	60
984	3706	56
985	3709	52
986	3713	48
987	3717	45
988	3721	41
989	3725	37
990	3729	33
991	3733	30
992	3734	26
993	3738	22
994	3742	18
995	3746	15
996	3750	11
997	3754	7
998	3758	3
999	3761	0
